"Country_Region","Last_Update","Confirmed","Deaths","deaths/cases ratio"
"Turkey","3/11/20",1,0,0
"Turkey","3/12/20",1,0,0
"Turkey","3/13/20",5,0,0
"Turkey","3/14/20",5,0,0
"Turkey","3/15/20",6,0,0
"Turkey","3/16/20",18,0,0
"Turkey","3/17/20",47,1,0.02127659574468085
"Turkey","3/18/20",98,1,0.01020408163265306
"Turkey","3/19/20",192,3,0.015625
"Turkey","3/20/20",359,4,0.011142061281337047
"Turkey","3/21/20",670,9,0.013432835820895522
"Turkey","3/22/20",1236,30,0.024271844660194174
"Turkey","3/23/20",1529,37,0.02419882275997384
"Turkey","3/24/20",1872,44,0.023504273504273504
"Turkey","3/25/20",2433,59,0.02424989724619811
"Turkey","3/26/20",3629,75,0.020666850372003307
"Turkey","3/27/20",5698,92,0.016146016146016146
"Turkey","3/28/20",7402,108,0.01459065117535801
"Turkey","3/29/20",9217,131,0.014212867527395031
"Turkey","3/30/20",10827,168,0.015516763646439457
"Turkey","3/31/20",13531,214,0.015815534698100656
"Turkey","4/1/20",15679,277,0.017666943044837045
"Turkey","4/2/20",18135,356,0.019630548662806727
"Turkey","4/3/20",20921,425,0.020314516514506956
"Turkey","4/4/20",23934,501,0.020932564552519427
"Turkey","4/5/20",27069,574,0.02120506852857512
"Turkey","4/6/20",30217,649,0.021477975973789587
"Turkey","4/7/20",34109,725,0.021255387141223724
"Turkey","4/8/20",38226,812,0.021242086537958456
"Turkey","4/9/20",42282,908,0.02147485927817984
"Turkey","4/10/20",47029,1006,0.02139105658210891
"Turkey","4/11/20",52167,1101,0.02110529645177986
"Turkey","4/12/20",56956,1198,0.021033780462111105
"Turkey","4/13/20",61049,1296,0.02122884895739488
"Turkey","4/14/20",65111,1403,0.02154781834098693
